domain,pg_rank
glitch.com,6.01
globalscape.com,5.35
glooko.com,5.67
gluster.org,5.7
goguardian.com,5.57
thegoldensource.com,5
good.com,5.51
gooddata.com,5.63
gotobus.com,5.76
govbizconnect.com,3.7
goverlan.com,4.7
grabcad.com,5.85
grammatech.com,5.27
graphpad.com,5.69
ghs.com,5.52
oracle.com,7.28
greenhouse.io,5.9
bmc.com,5.9
gridpoint.com,5.24
grouplogic.com,5.14
gses.com,4.7
infor.com,5.87
guidancesoftware.com,5.53
guidance.com,5.04
guidewire.com,5.51
gupshup.io,5.47
gxs.com,4.82
halcyoninc.com,2.57
handmark.com,5.42
harman.com,5.91
hashicorp.com,5.88
hcentive.com,4.88
hellowallet.com,5.54
helpscout.com,5.74
helpsystems.com,5.42
hexnode.com,5.53
highfidelity.com,5.5
hilgraeve.com,4.98
hitachivantara.com,5.65
hiveage.com,5.71
intelligrated.com,5.1
hoopla.net,5.26
hortonworks.com,5.85
hottrix.com,4.68
microfocus.com,6.15
hp.com,6.71
hubspot.com,7.25
hubstaff.com,5.82
humanyze.com,5.48
hyland.com,5.25
ibm.com,8.11
ibm.com,8.11
ibml.com,4.69
icewarp.com,5.62
icims.com,5.89
ideascale.com,5.68
igearonline.com,4.09
iggsoftware.com,5.15
imagesourceinc.com,5.36
impelsys.com,4.85
imperva.com,6.06
impetus.com,5.13
imply.io,5.38
inbenta.com,5.4
inedo.com,5.61
inetsoft.com,4.95
infinidat.com,5.28
infogix.com,5.56
infor.com,5.87
informatica.com,5.92
ibi.com,5.39
infosecinstitute.com,5.16
inkling.com,6.08
innerfour.com,3.82
iri.com,4.89
insight.com,5.91
instabase.com,5.16
instructure.com,6.17
intego.com,5.81
ics.com,5.48
integrationpoint.com,5.4
intel.com,6.83
intelliscanner.com,4.93
intellitrack.com,3.88
intercall.com,5.55
intercom.com,6.17
hexagonppm.com,5.39
isc.org,6.05
intersystems.com,5.57
intervalzero.com,5.38
intetics.com,5.43
invitemedia.com,5.31
inxight.com,4.99
ipswitch.com,5.87
iqms.com,4.9
iretron.com,5.07
isheriff.com,4.53
itasoftware.com,5.82
iterating.com,4.46
iteris.com,5.57
itko.com,4.85
ivanti.com,5.75
ivizsecurity.com,5.49
izotope.com,5.88
jackhenry.com,5.58
jadu.net,5.21
akamai.com,6.47
janusvr.com,5.46
jivesoftware.com,5.82
jkoolcloud.com,5.22
jobvite.com,6.06
johngalt.com,4.49
jotform.com,6.77
joulex.net,4.72
julysystems.com,4.97
jumpsoft.net,4.29
jungo.com,4.85
juniper.net,6.24
twitch.tv,7.95
jwplayer.com,6.47
kadenze.com,5.51
kaltura.com,6
kamakuraco.com,5.4
kana.com,5.17
kareo.com,5.48
keap.com,5.37
kenandy.com,5.19
kerio.com,5.56
keyedin.com,5.05
dynatrace.com,6.54
kinetica.com,5.13
kineto.com,4.81
kinoma.com,5.21
kiswe.com,4.84
knewton.com,5.67
knightsecurity.com,4.74
knoa.com,5.03
knowland.com,4.82
knowre.com,5.09
kofax.com,5.85
kronos.com,5.75
haivision.com,5.33
kxen.com,4.83
labware.com,5.05
languagecomputer.com,4.31
lavastorm.com,5.39
leadtools.com,6.01
leadspace.com,5.18
learning.com,5.62
learningtree.com,5.48
letgo.com,5.74
lever.co,5.62
lrs.com,5.15
lightspeedsystems.com,5.27
limnu.com,4.87
lionbridge.com,5.5
liquidplanner.com,5.94
liveperson.com,6.33
livetext.com,4.95
radview.com,5.4
local-matters.org,5.11
lockpath.com,4.97
loggly.com,5.75
logianalytics.com,5.25
logmeininc.com,5.84
looker.com,6.14
looksery.com,5.13
inmarket.com,5.7
ibm.com,8.11
lssdata.com,3.94
lucidworks.com,5.6
ivanti.com,5.75
lumenvox.com,4.48
luminex.com,4.82
lunarg.com,5.26
lynx.com,5.47
magaya.com,5.52
magento.com,6.32
magicbytes.com,3.98
bmc.com,5.9
magoosh.com,5.62
malwarebytes.com,6.4
mapr.com,5.81
marinsoftware.com,5.92
marinersoftware.com,5.67
marketo.com,6.14
marklogic.com,6.07
martiancraft.com,5.76
masergy.com,5.44
mastercam.com,4.72
careers.mathematica.org,3.74
mathworks.com,6.35
matroid.com,5.26
mavenir.com,5.43
mclaneat.com,4.67
medallia.com,6.22
nthrive.com,5.53
mediapolis.com,5.39
medidata.com,5.22
meditech.com,4.97
meridianks.com,4.58
meridiansystems.com,4.62
merricksystems.com,4.64
metasaas.com,5.15
quest.com,5.68
metamatrix.com,4.72
mformation.com,4.78
mi-case.com,3.46
mi9retail.com,5.13
microstrategy.com,5.94
mimedia.com,5.26
mindbodyonline.com,6.28
mindfireinc.com,4.68
mindgrub.com,5.25
mindtouch.com,5.72
mitchell1.com,5.06
mitchell.com,5.2
miva.com,5.53
mixamo.com,5.71
mlab.com,5.65
mobileiron.com,5.64
mocana.com,5.48
modeln.com,4.88
modmed.com,5.3
monetate.com,5.64
mongodb.com,6.06
mvista.com,5.42
moovweb.com,5.49
motus.com,5.79
moxiesoft.com,5.48
mozilla.org,8
mrisoftware.com,5.68
mulesoft.com,5.94
multicorewareinc.com,5.11
pianowizardacademy.com,4.92
namely.com,5.79
nanex.net,5.66
nastel.com,5.41
nationbuilder.com,5.84
naviance.com,5.69
ncino.com,5.12
ness.com,5.08
netcordia.com,4.51
netcracker.com,5.37
netdocuments.com,5.62
netflix.com,7.14
ncr.com,6.02
netmotionsoftware.com,5.3
netscout.com,5.84
netskope.com,5.57
ntst.com,5.1
netsoltech.com,5.08
nettimesolutions.com,4.41
networkautomation.com,5.13
networkedinsights.com,5.71
netwrix.com,5.47
neurodimension.com,3.83
newatlanta.com,5.08
newrelic.com,6.54
tylertech.com,5.82
newblueinc.com,4.02
newtek.com,5.95
nexidia.com,4.79
nextgen.com,5.55
ngpvan.com,5.79
nomagic.com,5.26
nodejitsu.com,5.46
novastor.com,5.06
ondemand.com,5.32
ntractive.com,4.65
nuance.com,6.45
nuemd.com,5.47
numarasoftware.com,4.66
numecent.com,4.9
numerix.com,5.38
nuodb.com,5.46
nusphere.com,5.51
ois.com,5.38
osi.com,4.04
objectsecurity.com,5.54
oceanhousemedia.com,5.74
octagonsystems.com,4.13
oculus.com,6.76
oculus.com,6.76
okta.com,6.04
omnigroup.com,6.07
omnovia.com,4.58
laptop.org,5.87
onelogin.com,5.95
ontraport.com,6.02
borland.com,5.61
opengarden.com,5.81
gdmissionsystems.com,5.46
opendatasoft.com,5.19
eyesopen.com,5.5
opengear.com,4.84
opengov.com,5.33
openit.com,5.38
optoro.com,5.49
osisoft.com,5.73
outstart.com,4.64
overcast.fm,7.3
overdrive.com,6.21
p-cube.com,4.75
pv.com,4.6
pagerduty.com,6.02
palamida.com,4.76
palantir.com,6
pandadoc.com,5.77
panic.com,6.33
panologic.com,4.87
pantheon.io,6.38
actian.com,5.48
parallels.com,6.49
parasoft.com,5.64
parc.com,5.82
pass-port.com,4.39
pathguide.com,4.9
pattondesign.com,3.71
peerstream.com,4.17
pega.com,5.79
hyland.com,5.25
perforce.com,5.88
utopicsoftware.com,4.26
cradlepoint.com,5.66
pervasive.com,5.41
pgp.com,5.74
phase2.com,4.24
phoenix.com,5.54
photodex.com,5.52
phreesia.com,5.26
piazza.com,6.06
picmonic.com,5.36
pingidentity.com,5.99
pingboard.com,5.58
pipedrive.com,6.45
pkware.com,5.83
plangrid.com,5.77
planview.com,5.34
plateau.com,4.75
platfora.com,5.5
plex.com,5.27
plex.tv,6.37
pluralsight.com,7.22
politicit.com,4.45
portalarium.com,5.49
precise.com,5.42
precisely.com,5.2
pmdg.com,4.18
greenwavesystems.com,5.48
prepme.com,5.25
presonus.com,6.06
pristine.io,5.39
privatecore.com,4.95
procore.com,5.81
softechgroupinc.com,3.19
profitkey.com,3.92
proginet.com,4.31
progress.com,6.09
prolexic.com,5.59
proofpilot.com,4.7
proofpoint.net,2.73
proofpoint.com,6.26
pros.com,5.36
pssclabs.com,5.02
ptc.com,6.13
publicissapient.com,5.56
simerics.com,4.08
punchbowl.com,6.35
pyze.com,5.36
qsensei.com,4.87
qad.com,5.41
qarbon.com,5.02
qcware.com,5.42
qiagen.com,5.72
qlik.com,5.93
qualtrics.com,6.41
qualys.com,5.89
quantapoint.com,3.97
quantum3d.com,4.7
quark.com,5.66
quest.com,5.68
quest.com,5.68
questvisual.com,5.64
quickbase.com,5.64
quid.com,5.4
qxbranch.com,5.23
radiantlogic.com,5.04
radius.com,5.57
railinc.com,5.42
raindance.com,5.15
rainstor.com,5.42
rallypoint.com,5.61
rangenetworks.com,4.95
rapidsos.com,5.56
raxco.com,5.1
razlee.com,4.04
razorthreat.com,3.88
reactiondesign.com,5.39
ready4.com,5.61
opentext.com,6.04
recondotech.com,4.69
recordedfuture.com,5.87
redcedartech.com,4.28
redtouchmedia.com,5.25
redcort.com,5.16
rediker.com,5.6
bmc.com,5.9
rememberthemilk.com,6.2
renderx.com,5.4
replaysolutions.com,4.61
repliweb.com,4.74
retailsolutions.com,5.03
retailmenot.com,6.1
retinax.com,4.82
revionics.com,5.32
revolutionanalytics.com,5.44
revolutionprep.com,5.11
rewardstyle.com,5.45
reyrey.com,4.92
rhythmone.com,5.92
rightsignature.com,5.62
ripcord.com,5.05
ripple.com,6.46
riskiq.com,5.92
rocketsoftware.com,5.66
rocketium.com,5.38
perforce.com,5.88
rosettastone.com,6.09
roxio.com,5.8
rsa.com,6.14
rw3.com,4.56
rxalldelivered.com,3.69
thalesgroup.com,6.16
sageintacct.com,5.22
salesforce.com,7.49
marketingcloud.com,5.8
salesforceiq.com,5.49
salvagedata.com,5.19
sansar.com,5.31
ariba.com,5.58
concur.com,5.81
sarnoff.com,5.34
sas.com,6.5
saucelabs.com,5.86
sawtoothsoftware.com,5.9
autodesk.com,6.6
scality.com,5.65
thinksai.com,5.56
scvngr.com,5.59
seagate.com,6.4
sealevel.com,5.38
searchtechnologies.com,5.18
secure64.com,4.89
seeclickfix.com,5.98
seersystems.com,4.82
seismicmicro.com,4.13
selfcad.com,5.39
semantic-ai.com,4.17
lexalytics.com,5.17
sendgrid.com,6.55
proofpoint.com,6.26
sendthisfile.com,5.25
sensage.com,4.85
serena.com,5.24
servicenow.com,5.64
7plus.com,3.44
shipworks.com,5.16
shopkeep.com,5.51
shopkick.com,5.83
siemens.com,6.51
signaldemand.com,4.46
signnow.com,5.77
sgi.com,5.97
silkroad.com,5.17
3ds.com,6.2
singlewire.com,5.07
sios.com,4.66
sirsidynix.com,5.65
sitrion.com,5.04
skyhook.com,5.15
skytap.com,5.24
skyward.com,5.6
slack.com,7.31
sli-systems.com,5
slicelife.com,5.76
smarsh.com,5.19
smartbear.com,5.86
smartface.io,5.1
smartsheet.com,6.38
smithmicro.com,5.32
snagajob.com,6.1
snapforce.com,4.4
snappygifts.com,2.95
socialchorus.com,5.48
socialflow.com,5.59
socialtext.com,5.76
softartisans.com,4.8
essigplm.com,4.4
softwareshelf.com,4.62
sogosurvey.com,5.47
solarwinds.com,5.98
soliddocuments.com,5.1
solidcore.com,4.73
solidodesign.com,4.43
sonicfoundry.com,5.42
sonicreality.com,4.96
roxio.com,5.8
sonicwall.com,6.23
sonomawireworks.com,5.17
sony.com,6.49
sonycreativesoftware.com,5.8
sopheon.com,5.06
sorcim.com,4.1
sorensonmedia.com,5.72
srcclr.com,5.24
sourcehov.com,4.54
speechfxinc.com,4.66
spiraluniverse.com,4.33
splendidcrm.com,5.03
splunk.com,6.47
spring.io,6.08
sqlstream.com,5.35
sqrrl.com,5.6
ssctech.com,5.27
starfish.com,4.55
starwindsoftware.com,5.55
statease.com,4.55
statsols.com,5.38
steelconnectinc.com,3.47
stepes.com,5.57
stepstoneglobal.com,4.65
gotostrata.com,4.76
strikeiron.com,5.43
strongloop.com,5.47
sap.com,6.87
sugarcrm.com,6.06
sugarsync.com,6.04
sumologic.com,5.84
sumtotalsystems.com,5.62
sun.com,6.17
sungard.com,5.89
sunquestinfo.com,4.76
support.com,5.59
swappa.com,5.73
swiftype.com,5.73
swsoft.com,5.45
symphonicsource.com,4.91
accelrys.com,5.61
microsoft.com,8.52
tableau.com,6.64
tacit.com,4.78
tactician.com,3.91
tagetik.com,4.85
taltech.com,4.82
taleo.com,5.5
talkdesk.com,5.74
talygen.com,5.38
helpsystems.com,5.42
techdata.com,5.51
techchange.org,5.77
techsmith.com,6.58
tek-tools.com,4.67
telenav.com,5.82
telerik.com,6.43
teletype.com,4.65
teliris.com,4.64
telligent.com,5.58
telmar.com,4.5
telogis.com,5.38
tenasys.com,4.23
teoco.com,4.74
careers.teradata.com,4.42
terracotta.org,5.47
atego.com,4.87
thoughtspot.com,5.72
thoughtworks.com,6.19
thryv.com,5.61
tibco.com,6.14
timesys.com,5.4
tippingpoint.org,5.52
ibm.com,8.11
toatech.com,4.71
tokenex.com,5.02
tomsawyer.com,4.84
furbo.com,5.09
townnews365.com,5.13
tracking-point.com,5.31
tractionsoftware.com,5.27
translattice.com,5.05
transzap.com,4.22
tricentis.com,5.44
trilogy.com,4.71
tripwire.com,5.87
tritech.com,4.79
trumpia.com,5.46
tubemogul.com,5.78
tufin.com,5.39
turbonomic.com,5.24
tylertech.com,5.82
uipath.com,5.79
ukg.com,4.52
ultimatesoftware.com,5.5
unicomglobal.com,5.38
unicomgov.com,4.05
guru.com,6.25
unitedfirstfinancial.com,4.35
univa.com,5.58
uaudio.com,5.86
universal-robots.com,5.81
usfleettracking.com,5.06
usatech.com,4.84
usatinemedia.com,5.73
userland.com,5.59
uservoice.com,5.75
ust.com,3.48
varonis.com,5.46
vce.com,5.53
veeam.com,5.97
velaro.com,5.01
velocify.com,5.11
venafi.com,5.35
venda.com,4.94
venmo.com,6.45
veracode.com,5.87
veramark.com,4.26
veriato.com,5.06
verint.com,5.77
veritas.com,5.63
verivo.com,4.85
vtinfo.com,4.12
versant.com,5.44
versata.com,4.58
versive.com,4.98
vertica.com,5.61
vesess.com,5.15
veveo.net,4.73
via3.com,4.9
vicarious.com,5.39
videologygroup.com,5.71
viralheat.com,5.58
virsa.com,4.23
virsto.com,5.05
virtuallogix.com,4.9
virtusa.com,5.18
virtutech.com,4.72
vistagy.com,4.97
vitechcorp.com,4.92
vlingo.io,4.96
vocus.com,5.65
voxeet.com,5.34
vuze.com,6.01
walkerdigital.com,5.41
wanderu.com,5.82
wandisco.com,5.51
web.com,5.64
webassist.com,5.4
webroot.com,6.08
antheminc.com,5.49
wibidata.com,5.47
widen.com,5.59
wikispaces.com,5.71
willdan.com,4.74
ca.com,6.24
windriver.com,5.8
windwardstudios.com,5.41
witlingo.com,5.39
workday.com,5.96
workfront.com,5.81
workingpoint.com,4.7
workiva.com,5.47
workspace.com,4.07
worldox.com,4.71
wrightsoft.com,4.75
wrike.com,6.52
write-bros.com,4.5
wso2.com,5.65
xactlycorp.com,5.25
xangati.com,5.08
xebialabs.com,5.47
ximxim.com,5.03
xinuos.com,5.42
yalochat.com,4.81
yapme.com,4.81
zadara.com,5.27
zango.com,5.12
zello.com,6.07
zend.com,6.45
zendesk.com,6.71
zeroc.com,5.24
jrebel.com,5.02
zetaglobal.com,5.7
zimperium.com,5.66
zip2.com,5.31
zipbooks.com,5.62
zlti.com,5.13
zoom.us,7.52
zoominfo.com,6.11
zscaler.com,5.98
zugara.com,5.05
zumobi.com,5.35
zuora.com,6.01
zylab.com,4.77
zsl.com,5.39
zywave.com,4.83
