Rank,name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,website,hq_location
202,Hubstaff,Other,Private,2012,60,"3,800.0",-,https://hubstaff.com/jobs,hubstaff.com,"Indianapolis, IN"
203,Jive,Other,Private,2001,660,196.0,-,https://www.jivesoftware.com/company/,jivesoftware.com,"Palo Alto, CA"
204,PARC,Other,Private,1970,200,16.9,-,https://www.parc.com/blog/a-bright-future-ahead-for-2018-parc-interns/,parc.com,"Palo Alto, CA"
205,Workfront,Other,Private,2001,670,230.0,-,https://careers.workfront.com/,workfront.com,"Lehi, UT"
206,Procore Technologies,Software,Private,2003,"1,600",289.0,-,https://www.procore.com/jobs,procore.com,"Carpinteria, CA"
207,Intego,"Software,Consulting,Security",Private,1997,256,38.3,-,https://www.intego.com/company/careers,intego.com,"Seattle, WA"
208,"MapR Technologies, Inc.",Software,Private,2009,456,400.0,-,https://mapr.agency/careers/,mapr.com,"Houston, TX"
209,Universal Robots,Automobiles,Private,2005,680,248.0,-,https://www.universal-robots.com/career/,universal-robots.com,
210,Sonic Solutions,Software,Public,1987,700,110.0,-,http://www.sonicsolutionsusa.com/contact.html,sonicsolutionsusa.com,"Novato, CA"
211,Roxio,Software,Private,2001,500,9.0,-,https://www.roxio.com/en/pages/coupons/,roxio.com,"Santa Clara, CA"
212,Sony Creative Software Inc.,Software,Private,2003,200,8.0,-,https://www.sonyjobs.com/internships.html,sonycreativesoftware.com,
213,Salesforce Marketing Cloud,Automobiles,Public,2000,"1,800",292.0,-,https://www.salesforce.com/company/careers/,marketingcloud.com,"San Francisco, CA"
214,Wind River Systems Inc.,Other,Private,1981,"1,800",360.0,-,https://windriver.com/careers/,windriver.com,"Alameda, CA"
215,"NGP VAN, Inc.","Software,Consulting,Database,Networking",Private,2001,190,28.9,-,https://www.ngpvan.com/careers,ngpvan.com,"Washington, D.C."
216,Pegasystems Inc.,Software,Public,1983,"5,000",892.0,-,https://www.pega.com/about/careers,pega.com,"Cambridge, MA"
217,UiPath Inc.,"Artificial Intelligence,Automobiles",Private,2005,"2,800",400.0,-,https://www.uipath.com/company/careers,uipath.com,"New York, NY"
218,Namely,Other,Private,2012,500,40.0,-,https://www.namely.com/careers/,namely.com,"New York, NY"
219,Blue Marble Geographics,Software,Private,2004,22,19.2,-,https://www.bluemarblegeo.com/about-us/careers.php,bluemarblegeo.com,"Indianapolis, IN"
220,"Motus, LLC",Other,Private,2004,200,78.1,-,https://www.motus.com/careers/,motus.com,"Boston, MA"
221,TubeMogul Inc.,Social media,Private,2007,577,181.0,-,https://angel.co/company/tubemogul/jobs,tubemogul.com,"Emeryville, CA"
222,Epic Systems Corporation,"Software,Consulting,Pharmaceuticals",Private,1979,"10,000","2,900.0",-,https://careers.epic.com/,epic.com,"Verona, WI"
223,"Bullhorn, Inc.",Consulting,Private,1999,950,220.0,-,https://www.bullhorn.com/careers/,bullhorn.com,"Boston, MA"
224,Verint Systems Inc.,"Software,Consulting,Data Analytics,Multimedia",Public,1994,"3,900","1,140.0",-,https://www.verint.com/careers/,verint.com,"Huntington, NY"
225,PandaDoc,Software,Private,2013,225,18.5,-,https://www.pandadoc.com/careers/,pandadoc.com,"San Francisco, CA"
226,"PlanGrid, Inc.",Other,Private,2012,450,70.0,-,https://jobs.lever.co/plangrid/,plangrid.com,"San Francisco, CA"
227,TechChange,Other,Private,2010,50,-,-,https://www.techchange.org/careers/communications-and-marketing-fellow/,techchange.org,"Washington, DC"
228,GotoBus,"Software,Travel",Private,2002,25,18.2,-,https://www.gotobus.com/aboutus/employment/,gotobus.com,"Cambridge, MA"
229,MartianCraft,Software,Private,2010,50,4.0,-,https://martiancraft.com/careers.html,martiancraft.com,"Fairfax, Virginia"
230,ZeroFOX,"Consulting,Security",Private,2013,150,49.6,-,https://www.zerofox.com/careers/,zerofox.com,"Baltimore, MD"
231,Slice,Other,Private,2010,496,134.0,-,https://slicelife.com/pages/careers,slicelife.com,
232,Socialtext,Other,Private,2002,50,9.0,-,https://www.mckinsey.com/careers/students,socialtext.com,"Palo Alto, CA"
233,CivicPlus,"Software,Networking",Private,1998,500,45.0,-,https://www.civicplus.com/careers,civicplus.com,"Manhattan, KS"
234,UserVoice,Software,Private,2008,30,116.0,,https://uservoice.com/about/#join-us,uservoice.com,"San Francisco, CA"
235,Conversocial,Software,Private,2009,70,10.0,-,https://www.conversocial.com/about/careers,conversocial.com,"New York City, NY"
236,Ivanti,"Software,Consulting,Security",Private,1985,"1,700",500.0,-,https://www.ivanti.com/company/careers,ivanti.com,"South Jordan, UT"
237,Loggly,Software,Private,2009,50,324.0,-,https://www.loggly.com/about/careers/,loggly.com,"San Francisco, CA"
238,Kronos Incorporated,Other,Private,1977,"6,000","1,430.0",-,https://www.kronos.com/about-us/careers,kronos.com,"Lowell, MA"
239,Help Scout,Software,Private,2011,100,15.1,-,https://www.helpscout.com/company/careers/,helpscout.com,"Boston, MA"
240,"Talkdesk, Inc.",Software,Private,2011,930,39.0,-,https://www.talkdesk.com/careers/,talkdesk.com,"San Francisco, CA"
241,"Oceanhouse Media, Inc.",Software,Private,2009,10,"4,400.0",-,http://www.oceanhousemedia.com/about/,oceanhousemedia.com,"Westerly, Rhode Island"
242,Letgo,Software,Private,2015,250,38.4,-,https://we.letgo.com/careers,letgo.com,"New York, NY"
243,PGP Corporation,Software,Private,2002,225,50.0,-,https://www.pgcareers.com/,pgp.com,"Menlo Park, CA"
244,Swiftype,"Software,Consulting",Private,2012,40,1.0,-,https://swiftype.com/jobs,swiftype.com,"San Francisco, CA"
245,Fishbowl Inventory,Software,Private,2001,150,12.0,-,https://www.fishbowlinventory.com/about/careers/,fishbowlinventory.com,"Alexandria, VA"
246,ChannelAdvisor,E-Commerce,Public,2001,640,130.0,-,https://www.channeladvisor.com/careers/,channeladvisor.com,
247,"Swappa, LLC",E-Commerce,Private,2010,40,895.0,-,https://swappa.com/blog/swappa-is-hiring-moderators-q3/,swappa.com,"Kansas City, Missouri"
248,"OSIsoft, LLC",Software,Private,1980,"1,300",330.0,-,https://www.osisoft.com/about-osisoft/careers/,osisoft.com,"San Leandro, CA"
249,EnterpriseDB Corporation,"Software,Database",Private,2004,50,21.5,-,https://www.enterprisedb.com/,enterprisedb.com,"Bedford, MA"
250,QIAGEN Silicon Valley,Software,Private,2003,"1,000","1,530.0",-,https://corporate.qiagen.com/careers/,qiagen.com,"Redwood City, California"
251,Coupa Software Inc.,"Software,Networking",Private,2006,"2,000",390.0,-,https://www.coupa.com/careers/,coupa.com,"San Mateo, CA"
252,"Coursera, Inc.",Other,Private,2012,"1,790",140.0,-,https://about.coursera.org/careers/,about.coursera.org,"Mountain View, CA"
253,Sorenson Media,Software,Private,1995,40,11.3,-,https://www.sorensonimpact.com/job-opportunities,sorensonmedia.com,
254,"ThoughtSpot, Inc.",Data Analytics,Private,2012,580,100.0,-,https://www.thoughtspot.com/careers,thoughtspot.com,"Sunnyvale, CA"
255,MindTouch Responsive,Other,Private,2005,200,10.0,-,https://mindtouch.com/about/careers,mindtouch.com,"San Diego, CA"
256,Dynamic Yield,"Software,Networking",Private,2011,250,500.0,-,https://www.dynamicyield.com/careers/,dynamicyield.com,New York City
257,Stackify,Software,Private,2012,40,"2,200.0",-,https://stackify.com/careers/,stackify.com,"Leawood, Kansas, United States"
258,Mixamo Inc.,Multimedia,Private,2008,20,291.0,-,https://www.mixamo.com/,mixamo.com,"San Francisco, CA"
259,Wikispaces,Other,Private,2005,10,-,-,https://nraas.wikispaces.com/Careers,wikispaces.com,"San Francisco, CA"
260,Networked Insights,Data Analytics,Private,2006,150,2.0,-,https://networkedinsights.com/careers/,networkedinsights.com,
261,Videology,"Software,Social media",Private,2007,300,300.0,-,https://videologygroup.com/,videologygroup.com,New York City
262,DotNetNuke,Other,Private,2006,10,105.0,-,https://www.dnnsoftware.com/about/careers,dnnsoftware.com,"Austin, TX"
263,Hiveage,Other,Private,2014,50,440.0,-,https://www.hiveage.com/careers/,hiveage.com,"Boston, MA"
264,"DataViz, Inc.",Software,Private,1984,50,5.0,-,dataviz.com,dataviz.com,"Milford, CT"
265,Dreambox Learning,Software,Private,2006,275,46.0,-,https://www.dreambox.com/careers,dreambox.com,"Bellevue, WA"
266,"Entrust, Inc.","Consulting,Networking",Private,1994,350,800.0,-,https://www.entrust.com/careers,entrust.com,"Addison, TX"
267,Zeta Interactive Corp.,Consulting,Private,2007,"1,300",400.0,-,https://zetaglobal.com/about/#careers,zetaglobal.com,"New York, NY"
268,InMarket,Software,Private,2010,100,100.0,-,https://inmarket.com/careers/,inmarket.com,"Los Angeles, CA"
269,Naviance,Software,Private,2002,150,137.0,-,https://www.naviance.com/,naviance.com,"Arlington, Virginia"
270,Conductor,Consulting,Private,2006,450,34.0,-,https://www.conductor.com/careers/,conductor.com,
271,"MRI Software, LLC","Software,Distributed Systems",Private,1971,"2,000",300.0,-,https://www.mrisoftware.com/about/careers/,mrisoftware.com,"Solon, OH"
272,Quest Software Inc,Software,Private,1987,"2,750",500.0,-,https://www.quest.com/company/careers.aspx,quest.com,"Aliso Viejo, CA"
273,IdeaScale,Software,Private,2009,50,10.4,-,https://ideascale.com/ideascale-careers/,ideascale.com,"Berkeley, CA"
274,Concentric Sky,Other,Private,2005,90,4.0,-,https://www.concentricsky.com/team/careers,concentricsky.com,"Eugene, OR"
275,"Bluebeam, Inc.",Software,Private,2002,500,40.4,-,https://www.bluebeam.com/communities/education/,bluebeam.com,"Pasadena, CA"
276,"Glooko, Inc",Software,Private,2011,170,24.2,-,https://www.glooko.com/careers/,glooko.com,"Mountain View, CA"
277,"Knewton, Inc.",Software,Private,2008,150,381.0,-,https://www.knewton.com/,knewton.com,"New York, NY"
278,Digital Guardian,"Consulting,Security",Private,2003,375,74.7,-,https://digitalguardian.com/about/careers,digitalguardian.com,"Waltham, MA"
279,Enthought,Software,Private,2001,80,39.3,-,https://www.enthought.com/careers/,enthought.com,"Austin, TX"
280,"Mariner Software, Inc.",Software,Private,1990,50,7.0,-,https://marinersoftware.com/,marinersoftware.com,"Minneapolis, MN"
281,"Nanex, LLC",Software,Private,2000,8,"1,600.0",-,http://www.nanex.net/careers.html,nanex.net," Winnetka, IL"
282,Citrix Online,Software,Private,1997,"8,200","3,010.0",629.0,https://www.citrix.com/careers/university-recruiting/,citrixonline.com,"Santa Barbara, California Santa Barbara California"
283,Code42,Software,Private,2001,500,100.0,-,https://www.code42.com/careers/,code42.com,"Minneapolis, MN"
284,Pertino,Software,Private,2011,100,20.0,-,https://cradlepoint.com/about-us/careers/,cradlepoint.com,"Los Gatos, CA"
285,Zimperium,"Software,Consulting,Security",Private,2010,180,36.1,-,https://www.zimperium.com/company#jobs,zimperium.com,"Dallas, TX"
286,Quark,Software,Private,1981,250,100.0,-,https://www.quark.com/about/careers/,quark.com,"Denver, CO"
287,Rocket Software Inc.,Software,Private,1990,"1,400",450.0,-,https://www.rocketsoftware.com/rocket-jobs,rocketsoftware.com,"Waltham, MA"
288,Vocus,Software,Private,2008,"1,200",187.0,-,https://www.vocus.com.au/careers,vocus.com,
289,mLab,"Software,Distributed Systems,Database",Private,2011,36,118.0,64.9,https://mlab.com/,mlab.com,"San Francisco, CA"
290,SirsiDynix,Software,Private,1979,350,125.0,-,https://www.sirsidynix.com/careers/,sirsidynix.com,"Lehi, UT"
291,WSO2,Other,Private,2005,600,109.0,-,https://wso2.com/careers/,wso2.com,"Mountain View, CA"
292,Scality,"Software,Consulting,Database",Private,2009,210,61.0,-,https://www.scality.com/careers/,scality.com,"San Francisco, CA"
293,Hitachi Data Systems,"Software,Consulting,Database,Electronics",Private,1989,"6,300",88.4,-,https://www.hitachivantara.com/en-us/company/careers.html,hitachivantara.com,
294,"Quest Visual, Inc.",Software,Private,2009,4,13.4,-,https://www.quest.com/company/careers.aspx,questvisual.com,"San Francisco, CA"
295,"Monetate, Inc.","Software,Consulting,Networking",Private,2008,220,2.0,-,https://monetate.com/about/careers/,monetate.com,"New York City, NY"
296,"QuickBase, Inc.","Software,Consulting",Private,1999,315,125.0,-,https://www.quickbase.com/about-us/careers,quickbase.com,"Cambridge, MA"
297,MobileIron,"Consulting,Security",Public,2007,960,205.0,-,https://www.mobileiron.com/en/company/careers,mobileiron.com,"Mountain View, CA"
298,"ServiceNow, Inc.",Software,Public,2003,"11,000","3,460.0",-,https://www.servicenow.com/careers.html,servicenow.com,"Santa Clara, California"
299,Parasoft,Software,Private,1987,250,60.4,-,https://www.parasoft.com/company/careers/,parasoft.com,"Monrovia, CA"
300,Cambridge Semantics,Software,Private,2007,100,13.8,-,https://www.cambridgesemantics.com/about-us/careers/,cambridgesemantics.com,"Boston, MA"
301,Web.com,Other,Private,1999,"3,500","1,210.0",-,https://www.web.com/about-us/careers,web.com,
302,Veritas Technologies LLC,Other,Private,1993,"7,000","2,600.0",-,https://www.veritas.com/company/careers,veritas.com,"Santa Clara, CA"
303,Clarifai,Software,Private,2013,90,41.3,-,https://www.clarifai.com/careers,clarifai.com,"New York, NY"
304,GoodData,Software,Private,2007,290,200.0,-,https://www.gooddata.com/company/careers,gooddata.com,"San Francisco, CA"
305,EVRYTHNG,Other,Private,2011,80,47.3,-,https://apply.workable.com/evrythng/,evrythng.com,"New York City, London and San Francisco"
306,"Emplify, Inc.",Software,Private,2011,50,68.6,-,https://amplify.com/careers/,emplify.com,"Fishers, Indiana"
307,"SumTotal Systems, Inc.",Software,Public,1985,950,161.0,-,https://www.sumtotalsystems.com/,sumtotalsystems.com,"Gainesville, FL"
308,"Magoosh, Inc.",Networking,Private,2009,50,10.0,-,https://magoosh.com/careers/,magoosh.com,"Berkeley, CA"
309,NetDocuments,Software,Private,1999,160,31.8,-,https://www.netdocuments.com/,netdocuments.com,"Orem, UT"
310,"IceWarp, Inc.","Software,Consulting,Networking,Security",Private,1998,180,9.0,-,https://www.icewarp.com/segments/education/,icewarp.com,"Springfield, VA"
311,RightSignature,Other,Private,2009,100,1.0,-,https://jobs.citrix.com/,rightsignature.com,"Santa Barbara, CA"
312,ZipBooks,Other,Private,2015,40,78.6,-,https://zipbooks.com/careers/,zipbooks.com,"Lehi, UT"
313,Thryv,Software,Public,2013,"2,400",240.0,-,https://corporate.thryv.com/careers/,thryv.com,North Carolina
314,"Dejal Systems, LLC",Software,Private,1991,250,1.0,-,https://www.dea.gov/student-entry-level-careers,dejal.com,"Portland, OR"
315,RallyPoint,Networking,Private,2012,150,"1,700.0",-,https://www.rallypoint.com/topics/jobs,rallypoint.com,"Boston, MA"
316,BetterCloud,"Software,Networking",Private,2011,280,50.0,-,https://www.bettercloud.com/careers/,bettercloud.com,"New York, NY"
317,Inedo,"Software,Consulting",Private,2007,320,3.0,-,https://inedo.com/company/career-culture,inedo.com,"Upper Berea, OH"
318,Vertica,Database,Private,2005,275,550.0,-,https://www.vertica.com/about/careers/,vertica.com,"Cambridge, MA"
319,Borland Software Corporation,Software,Private,1983,"1,100",172.0,-,https://jobs.microfocus.com/,borland.com,"Austin, TX"
320,BroadSoft Inc.,"Software,Networking",Private,1998,"1,600",341.0,15.5,https://www.cisco.com/c/en/us/about/careers.html,broadsoft.com,"Gaithersburg, MD"
321,Ready4,Other,Private,2013,60,9.0,-,https://www.ready4.com/careers,ready4.com,"Boston, MA"
322,Skyward,Software,Private,1980,200,126.0,-,https://www.skyward.com/working-for-skyward,skyward.com,"Stevens Point, WI"
323,Lucidworks Inc.,"Software,Consulting,Networking",Private,2007,200,96.7,-,https://lucidworks.com/careers/opportunities/,lucidworks.com,"San Francisco, CA"
324,"Rediker Software, Inc.",Other,Private,1980,100,18.0,-,https://www.rediker.com/about-us/careers,rediker.com,"Hampden, MA"
325,"Support.com, Inc.","Software,Networking",Public,1997,"1,200",60.1,-,https://corporate.support.com/careers/,support.com,"Sunnyvale, CA"
326,"SocialFlow, Inc.",Networking,Private,2009,50,35.0,-,https://www.socialflow.com/company/,socialflow.com,"New York, NY"
327,"Prolexic Technologies, now part of Akamai","Software,Consulting",Private,2003,"7,650","2,890.0",478.0,https://www.akamai.com/us/en/about/careers/,prolexic.com,Florida
328,Condusiv Technologies,Software,Private,1981,250,32.2,-,https://condusiv.com/about/careers/,condusiv.com,"Austin, TX"
329,SCVNGR,Other,Private,2008,60,27.4,-,https://careers.grubhub.com/,scvngr.com,"Cambridge, MA"
330,Widen,Other,Private,1948,150,21.6,-,https://www.widen.com/careers,widen.com,"Madison, United States of America"
331,TheBrain Technologies,Software,Private,1998,450,1.0,-,https://www.thebrain.com/careers,thebrain.com,
332,"Cockroach Labs, Inc.",Software,Private,2015,150,27.0,-,https://www.cockroachlabs.com/careers/,cockroachlabs.com,New York City
333,"Telligent, A Verint Company","Software,Networking",Private,2004,100,31.0,-,https://www.telligent.com/about/join-us/,telligent.com,"Dallas, TX"
334,"Booker Software, Inc.",Other,Private,2007,270,56.0,-,https://www.booker.com/careers/listing/qa,booker.com,"New York City, NY"
335,"Pingboard, Inc.",Software,Private,2013,11,"3,200.0",-,https://pingboard.com/careers,pingboard.com,"Austin, TX"
336,SAP Ariba,"Software,Networking",Private,1996,"3,640",335.0,-,https://www.ariba.com/about/sap-ariba-careers,ariba.com,"Palo Alto, CA"
337,"Jack Henry & Associates, Inc.",Other,Public,1976,"6,500","1,540.0",392.0,https://careers.jackhenry.com/,jackhenry.com,"Monett, MO"
338,Univa Grid Engine Software,Other,Private,2000,"5,000",10.0,-,https://www.univa.com/about/careers.php,univa.com,"Troy, MI"
339,Claris International Inc.,Software,Private,1998,300,13.0,-,https://www.claris.com/company/,claris.com,"Santa Clara, CA"
340,InterSystems,Software,Private,1978,"1,800",720.0,-,https://www.intersystems.com/who-we-are/careers/,intersystems.com,"Cambridge, MA"
341,"Figure 53, LLC","Software,Multimedia",Private,2006,"37,600",92.7,-,https://figure53.com/,figure53.com,"Baltimore, Maryland"
342,Radius,Software,Private,2009,400,173.0,-,https://www.kabbage.com/company/careers/,radius.com,"Waltham, MA"
343,GoGuardian,Software,Private,2014,230,33.5,-,https://www.goguardian.com/careers/,goguardian.com,
344,Iteris Inc.,Other,Public,2004,360,114.0,-,https://www.iteris.com/careers,iteris.com,"Santa Ana, CA"
345,Fetch Softworks,Software,Private,1989,100,571.0,-,https://fetchsoftworks.com/,fetchsoftworks.com,"Etna, New Hampshire"
346,RapidSOS,Software,Private,2012,120,44.1,-,https://rapidsos.com/careers/,rapidsos.com,"New York, NY"
347,"Kerio Technologies, Inc.","Software,Consulting,Networking,Security",Private,1997,200,"1,270.0",-,http://www.kerio.com/company/careers,kerio.com,"San Jose, CA"
348,"Infogix, Inc.","Software,Consulting",Private,1982,455,64.6,-,https://www.infogix.com/careers/,infogix.com,"Naperville, IL"
349,CoverMyMeds,Pharmaceuticals,Private,2008,"1,000",208.0,-,https://experience.covermymeds.com/,covermymeds.com,"Columbus, OH"
350,"Enigma Technologies, Inc.","Software,Networking",Private,2011,75,30.0,-,https://enigma.com/careers/openings,enigma.com,"New York, NY"
351,Publicis Sapient,Other,Public,1990,"20,000","1,310.0",125.0,https://careers.publicissapient.com/students,publicissapient.com,"Boston, MA"
352,SA International,Software,Private,1978,"3,500",106.0,142.0,https://www.thinksai.com/careers,thinksai.com,
353,FellowshipOne,Software,Private,2003,100,11.0,-,https://www.fellowshipone.com/careers/,fellowshipone.com,
354,Atlas Games,Other,Private,1990,270,9.0,-,https://atlas-games.com/jobs,atlas-games.com,"Saint Paul, MN"
355,InterCall,"Software,Networking",Private,1991,"4,000","2,690.0",-,http://www.intercallapac.com/about-us/careers-test.php,intercall.com,"Chicago, IL"
356,"Design Science, Inc.",Software,Private,1991,200,5.0,-,https://dscience.com/contact/careers/,dscience.com,"Long Beach, CA"
357,NextGen Healthcare,"Consulting,Pharmaceuticals",Public,1976,"2,900",536.0,-,https://recruiting.adp.com/srccar/public/RTI.home?c=2176107&d=ExternalCareerSite,nextgen.com,"Irvine, CA"
358,StarWind Software Inc.,Software,Private,2003,230,38.6,-,https://www.starwindsoftware.com/careers,starwindsoftware.com,"Middleton, MA"
359,HelloWallet,"Software,Finance",Private,2009,60,162.0,-,https://www.key.com/to/obi+careers,hellowallet.com,"Washington, DC"
360,"Evergage, Inc.","Software,Consulting,Networking",Private,2010,90,19.0,-,https://www.salesforce.com/company/careers/?d=70130000000i80S,evergage.com,"Somerville, MA"
361,ObjectSecurity,"Consulting,Security",Private,2000,500,32.0,-,https://objectsecurity.com/careers/,objectsecurity.com,"San Diego, CA"
362,"FiscalNote, Inc.",Software,Private,2013,475,20.0,-,https://careers.fiscalnote.com/positions/,fiscalnote.com,"Washington, D.C"
363,"MedAssets, Inc","Software,Pharmaceuticals",Public,1999,"3,400",450.0,-,https://www.nthrive.com/careers/,nthrive.com,"Alpharetta, GA"
364,"Miva, Inc.",Software,Private,1996,120,21.6,-,https://www.miva.com/company/careers,miva.com,"San Diego, CA"
365,"Guidance Software, Inc.",Consulting,Private,1997,371,91.9,-,https://www.careerbliss.com/guidance-software/,guidancesoftware.com,"Pasadena, CA"
366,TippingPoint,"Networking,Electronics",Private,2005,700,44.3,-,https://tippingpoint.org/jobs,tippingpoint.org,"San Francisco, CA"
367,Magaya Corporation,"Software,Travel",Private,2001,120,17.4,-,https://www.magaya.com/careers/,magaya.com,"Miami, Florida"
368,The Echo Nest Ltd.,Multimedia,Private,2005,65,25.6,-,https://angel.co/company/echonest,echonest.com,"Somerville, MA"
369,Green Hills Software Inc.,Software,Private,1982,300,1.0,-,https://www.ghs.com/jobs_usa.html,ghs.com,"Santa Barbara, CA"
370,"Clarizen, Inc.",Software,Private,2006,60,35.4,-,https://www.clarizen.com/about/careers/,clarizen.com,"San Mateo, CA"
371,Good Technology,Software,Private,1996,150,212.0,-,https://www.blackberry.com/us/en/company/careers,good.com,"Sunnyvale, California"
372,ShopKeep,Other,Private,2008,200,50.0,-,https://www.shopkeep.com/careers,shopkeep.com,"New York, NY"
373,"Guidewire Software, Inc.",Software,Public,2001,"2,500",742.0,-,https://careers.guidewire.com/students-graduates,guidewire.com,"San Mateo, CA"
374,Tech Data Corporation,"Software,Consulting,E-Commerce,Electronics",Private,1974,"14,000",36.8,410.0,https://www.techdata.com/careers.html,techdata.com,"Clearwater, FL"
375,"WANdisco, plc.","Software,Distributed Systems,Data Analytics",Public,2005,180,16.0,-,https://wandisco.com/company/careers,wandisco.com,"San Ramon, CA"
376,DataArt Solutions Inc,Other,Private,1997,"3,000",140.0,-,https://www.dataart.com/about-dataart/careers,dataart.com,"New York, NY"
377,NuSphere,Other,Private,2001,130,24.0,-,http://www.nusphere.com/about/careers.htm,nusphere.com,"Reno, Nevada"
378,"Ultimate Software Group, Inc.","Software,Consulting",Private,1990,"5,150",940.0,-,http://m.ultimatesoftware.com/careers-at-ultimate,ultimatesoftware.com,"Weston, FL"
379,"Lionbridge Technologies, Inc.",Software,Private,1996,"6,000",705.0,-,https://www.lionbridge.com/join-our-team/,lionbridge.com,"Waltham, MA"
380,Fungible Inc.,Software,Private,2015,200,10.2,-,https://www.fungible.com/careers/,fungible.com,"Santa Clara, CA"
381,Platfora,Data Analytics,Private,2011,125,17.0,-,https://angel.co/company/platfora,platfora.com,"San Mateo, CA"
382,OpenEye Scientific Software,"Software,Pharmaceuticals",Private,1997,100,10.4,,https://www.eyesopen.com/careers,eyesopen.com,"Santa Fe, NM"
383,Enterasys Networks,"Software,Networking",Private,1983,"2,750",12.9,-,https://www.extremenetworks.com/company/careers/,enterasys.com,"San Jose, CA"
384,"Cyfe, Inc.",Software,Private,2012,20,2.0,-,https://angel.co/company/cyfe/jobs,cyfe.com,"Los Angeles, CA"
385,High Fidelity,Other,Private,2013,40,47.9,-,https://jobs.lever.co/highfidelity,highfidelity.com,"San Francisco, CA"
386,"Portalarium, Inc.","Networking,Multimedia",Private,2009,30,5.0,-,https://www.builtinaustin.com/company/portalarium/jobs,portalarium.com,"Austin, TX"
387,DeLorme,Software,Private,1976,75,18.2,-,https://careers-us.garmin.com/us/en/,delorme.com,"Yarmouth, ME"
388,Veeva Systems Inc.,Software,Public,2007,"2,400",378.0,-,https://www.veeva.com/meet-veeva/careers/,veeva.com,"Pleasanton, CA"
389,CloudHealth by VMware,Software,Private,2012,280,500.0,-,https://www.cloudhealthtech.com/careers,cloudhealthtech.com,"Boston, MA"
390,Moovweb,Distributed Systems,Private,2009,90,12.9,-,https://www.moovweb.com/jobs,moovweb.com,"San Francisco, CA"
391,"Anthem, Inc.",Pharmaceuticals,Public,2004,"70,600",104.0,"5,990.0",https://anthemcareers.ttcportals.com/,antheminc.com,"Indianapolis, IN"
392,SalesforceIQ,Other,Public,2011,130,69.0,-,https://www.salesforce.com/company/careers/,salesforceiq.com,"San Francisco, CA"
393,"Optoro, Inc.","Software,Travel",Private,2004,240,50.0,-,https://www.optoro.com/careers/,optoro.com,"Washington, DC"
394,"Twocanoes Software, LLC",Software,Private,2012,5,391.0,-,https://twocanoes.com/jobs/,twocanoes.com,"Naperville, IL"
395,FinancialForce,Software,Private,2009,750,140.0,-,https://www.financialforce.com/about/careers/,financialforce.com,"San Francisco, CA"
396,DreamFactory Software,Software,Private,1998,"4,000",10.0,-,https://www.dreamfactory.com/company/careers/,dreamfactory.com,"Las Vegas, NV"
397,"SocialChorus, Inc.",Software,Private,2008,150,30.0,-,https://socialchorus.com/company/careers/,socialchorus.com,"San Francisco, CA"
398,Predixion Software,"Software,Data Analytics",Private,2009,50,10.0,-,https://greenwavesystems.com/about/careers,greenwavesystems.com,"Irvine, CA"
399,Engagio Inc.,Software,Private,2015,60,7.0,-,https://www.engagio.com/careers/,engagio.com,"San Mateo, CA"
400,Humanyze,"Software,Networking,Electronics",Private,2010,60,"8,800.0",-,https://www.humanyze.com/careers/,humanyze.com,"Boston, MA"
401,"Moxie Software, Inc.",Software,Private,2006,220,222.0,-,https://moxiesoftware.recruitee.com/,moxiesoft.com,"Mountain View, California"
402,Learning Tree International,Other,Private,1974,660,64.3,-,https://www.learningtree.com/careers/,learningtree.com,"Herndon VA, USA"
403,"Electric Cloud, Inc.",Software,Private,2002,100,145.0,-,http://electric-cloud.com/company/careers/?p=job%2FoNpV2fwT,electric-cloud.com,"Sunnyvale, CA"
404,"Integrated Computer Solutions, Inc.",Software,Private,1987,100,"9,970.0",-,https://icsinc.com/careers/,ics.com,"Waltham, MA"
405,Kareo,Other,Private,2004,620,50.0,-,https://www.kareo.com/careers,kareo.com,"Irvine, CA"
406,"Terracotta, Inc.",Software,Private,2003,100,57.0,-,https://www.terracottagroup.com/careers/,terracotta.org,
407,"XebiaLabs, Inc.",Software,Private,2008,150,100.0,-,https://www.linkedin.com/company/xebialabs,xebialabs.com,"Burlington, MA"
408,WibiData,Software,Private,2010,250,5.0,-,https://wibidata.recruiterbox.com/,wibidata.com,"San Francisco, CA"
409,Blackline,Software,Public,2001,"1,055",289.0,-,https://www.blackline.com/careers/,blackline.com,"Los Angeles, CA"
410,Gupshup,Software,Private,2004,140,50.0,-,https://www.gupshupnyc.com/jobs/,gupshup.io,"San Francisco, CA"
411,FastSpring,Other,Private,2005,100,95.0,-,https://fastspring.com/company/careers/,fastspring.com,"Santa Barbara, CA"
412,SoGoSurvey,Networking,Private,2013,90,164.0,-,https://www.sogosurvey.com/career-opportunities/,sogosurvey.com,"Herndon, VA"
413,Netwrix,"Software,Consulting",Private,2006,360,51.8,-,https://www.netwrix.com/careers.html,netwrix.com,"Irvine, CA"
414,"Nuesoft Technologies, Inc.","Consulting,Pharmaceuticals",Private,1993,60,23.0,-,https://www.nuemd.com/,nuemd.com,"Atlanta, GA"
415,"Lynx Software Technologies, Inc",Software,Private,1988,110,15.1,,https://www.lynx.com/careers,lynx.com,"San Jose, CA"
