Rank,name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,website,hq_location
19,WhatsApp,Other,Public,2009,55,"5,000.0","4,000.0",https://www.facebook.com/careers/areas-of-work/whatsapp/,whatsapp.com,"Menlo Park, CA"
20,SuccessFactors Inc.,Software,Private,2001,"1,450",501.0,201.0,https://www.sap.com/about/careers.html,sap.com,"Walldorf, Germany"
21,Intel Corporation,Electronics,Public,1968,"110,800",719.0,22.0,https://jobs.intel.com/,intel.com,"Santa Clara, CA"
22,"Dell Software, Inc.",Other,Public,1984,"157,000","92,500.0","2,620.0",https://jobs.dell.com/students,dell.com,"Round Rock, TX"
23,"JotForm, Inc.",Software,Private,2006,250,54.0,-,https://www.jotform.com/form-templates/gnhs-work-study,jotform.com,"San Francisco, California"
24,Oculus,Other,Public,2012,330,100.0,1.2,https://www.oculus.com/careers/,oculus.com,"Menlo Park, CA"
25,VMware Inc.,Software,Public,1998,"31,000","8,970.0","2,050.0",https://careers.vmware.com/,vmware.com,"Palo Alto, California, United States"
26,McAfee Corp.,Software,Public,1987,"6,770","2,600.0",128.0,https://careers.mcafee.com/,mcafee.com,"San Jose, CA"
27,HP Inc.,"Software,Electronics",Public,2015,"56,000","58,750.0","3,800.0",https://jobs.hp.com/en-us/Students-Graduates,hp.com,"Palo Alto, CA"
28,Zendesk,Other,Public,2007,"3,570",816.0,3.5,https://jobs.zendesk.com/us/en,zendesk.com,"San Francisco, CA"
29,"Tableau Software, Inc.",Software,Private,2003,"4,180","1,200.0",841.0,https://www.tableau.com/about/careers,tableau.com,"Seattle, WA"
30,"Autodesk, Inc.",Software,Public,1982,"10,300","3,270.0",343.0,https://www.autodesk.com/careers,autodesk.com,"San Rafael, CA"
31,Cvent,"Software,Artificial Intelligence",Private,1999,"3,600",396.0,4.3,https://www.cvent.com/en/careers,cvent.com,"McLean, VA"
32,Check Point Software Technologies Ltd.,"Software,Consulting,Electronics,Security",Public,1993,"5,200","2,000.0",882.0,https://careers.checkpoint.com/index.php?m=careers&a=jobs&country_code=BE,checkpoint.com,"San Carlos, CA"
33,Cisco Webex,"Software,Networking,Multimedia",Public,1995,"10,000",380.0,"3,200.0",https://www.cisco.com/c/en/us/about/careers/working-at-cisco/students-and-new-graduate-programs.html,webex.com,"San Jose, CA"
34,SendGrid,Software,Private,2009,500,112.0,2.8,https://sendgrid.com/careers/interns-new-grads/,sendgrid.com,"Denver, CO"
35,"Dynatrace, Inc.","Software,Consulting,Data Analytics",Public,2005,"2,200",487.0,53.3,https://www.dynatrace.com/company/careers/,dynatrace.com,"Waltham, MA"
36,"New Relic, Inc.",Other,Public,2008,"1,280",600.0,25.0,https://newrelic.com/about/careers,newrelic.com,"San Francisco, CA"
37,"Red Hat, Inc.",Software,Private,1993,"13,400","3,400.0",512.0,https://www.redhat.com/en/jobs,redhat.com,"Raleigh, NC"
38,Wrike,Other,Private,2003,700,288.0,-,https://www.wrike.com/careers/,wrike.com,"San Jose, CA"
39,Cloudinary,Software,Private,2011,200,60.0,1.0,https://cloudinary.com/jobs,cloudinary.com,"Santa Clara, CA"
40,Siemens PLM Software,Software,Private,1997,"7,600",86.9,51.3,https://jobs.siemens.com/disw/jobs,siemens.com,
41,"DocuSign, Inc.",Other,Public,2003,"3,910",974.0,55.5,https://www.docusign.com/company/careers,docusign.com,"San Francisco, CA"
42,SAS Institute Inc.,Software,Private,1976,"13,940","3,300.0","3,200.0",https://www.sas.com/en_us/careers.html,sas.com,
43,Sony Corporation of America,Multimedia,Public,1960,"114,400","1,300.0",800.0,https://www.sonyjobs.com/internships.html,sony.com,Madison Avenue
44,GE Automation & Controls,Automobiles,Public,1987,650,210.0,-,https://jobs.gecareers.com/global/en,ge.com,"Boston, MA"
45,Janrain,Other,Private,2005,120,14.3,-,https://www.akamai.com/us/en/about/careers/,akamai.com,"Cambridge, MA"
46,JW Player,Other,Private,2005,200,499.0,-,https://www.jwplayer.com/careers/,jwplayer.com,New York
