Rank,name,website,students_careers_url,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),hq_location
121,"Pivotal Software, Inc.",pivotal.io,https://careers.vmware.com/main/jobs,Software,Private,2013,2970,509,-,"San Francisco, CA"
122,Fair Isaac Corporation,fico.com,https://www.fico.com/en/careers,Software,Public,1956,3360,932,177,"San Jose, CA"
123,SugarSync,sugarsync.com,https://www.sugarsync.com/company/careers.html,Other,Private,2004,160,"12,100.00",-,"San Mateo, CA"
124,"Domo, Inc.",domo.com,https://www.domo.com/company/careers,Software,Public,2010,825,142,-,"American Fork, UT"
125,Ontraport,ontraport.com,https://ontraport.com/careers/jobs/internships,Software,Private,2006,100,10,-,"Santa Barbara, CA"
126,"PagerDuty, Inc.",pagerduty.com,https://www.pagerduty.com/careers/,"Software,Consulting",Public,2009,525,84,-,"San Francisco, California"
127,"Datadog, Inc.",datadoghq.com,https://www.datadoghq.com/careers/,Consulting,Public,2010,1200,368,-,"New York City, NY"
128,CodeWeavers,codeweavers.com,https://www.codeweavers.com/about/jobs,Software,Private,1996,30,16.1,-,"Saint Paul, MN"
129,"NCR Netkey, Inc",ncr.com,https://www.ncr.com/careers,Software,Public,1983,36000,-,-,"East Haven, Conn"
130,"Vuze, Inc.",vuze.com,https://www.vuze.com/corp/jobs.php,Multimedia,Private,2006,190,6.2,-,"San Mateo, CA"
131,Glitch,glitch.com,https://glitch.com/about,Software,Private,2000,30,175,-,New York
132,"Zuora, Inc.",zuora.com,https://www.zuora.com/about/careers/,Software,Public,2007,1250,276,-,"Redwood City, CA"
133,"LEAD Technologies, inc.",leadtools.com,https://www.leadtools.com/corporate/careers,Software,Private,1990,80,50,-,
134,Dell EMC,dellemc.com,https://jobs.dell.com/students,"Software,Database",Public,1979,165000,"90,600.00",-,"Hopkinton, MA"
135,Palantir Technologies Inc.,palantir.com,https://www.palantir.com/students/,Software,Public,2003,2500,739,-,"Denver, CO"
136,Kaltura,kaltura.com,https://corp.kaltura.com/company/careers/,"Networking,Multimedia",Private,2006,450,100,-,"New York, NY"
137,Genesys,genesys.com,https://www.genesys.com/company/careers,Other,Private,1990,5940,2,-,"Daly City, CA"
138,Ping Identity,pingidentity.com,https://www.pingidentity.com/en/company/careers.html,"Software,Consulting",Public,2002,970,140,-,"Denver, CO"
