Atlas Financial Holdings, Inc. - Ordinary Shares,ClearHealthCosts
Armstrong Flooring, Inc. Common Stock,Retroficiency
Anfield Universal Fixed Income ETF,PatientsLikeMe
American Finance Trust, Inc. - Class A Common Stock,FindTheBest.com
American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,PricewaterhouseCoopers
VanEck Vectors-Africa Index ETF,Retroficiency
AFLAC Incorporated Common Stock,PlanetEcosystems
First Trust Active Factor Large Cap ETF,PricewaterhouseCoopers
First Trust Active Factor Mid Cap ETF,eInstitutional
Affimed N.V. - Common Stock,Environmental
First Trust Active Factor Small Cap ETF,eInstitutional
Apollo Senior Floating Rate Fund Inc. Common Stock,PlaceILive.com
Pacer CSOP FTSE China A50 ETF,Personal,
Afya Limited - Class A Common Shares,iMedicare
First Majestic Silver Corp. Ordinary Shares (Canada),PricewaterhouseCoopers
AGBA Acquisition Limited - Ordinary Share,iMedicare
AGBA Acquisition Limited - Unit,CoolClimate
AGCO Corporation Common Stock,Relationship
Aberdeen Global Dynamic Dividend Fund,Retroficiency
AgeX Therapeutics, Inc. Common Stock,FindTheBest.com
Agenus Inc. - Common Stock,Environmental
AgroFresh Solutions, Inc. - Common Stock,Relationship
iShares Core U.S. Aggregate Bond ETF,Revelstone
IQ Enhanced Core Plus Bond U.S. ETF,PlanetEcosystems
WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,TransparaGov
Alamos Gold Inc. Class A Common Shares,LoseIt.com
Agios Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
Aeglea BioTherapeutics, Inc. - Common Stock,ClearHealthCosts
Federal Agricultural Mortgage Corporation Common Stock,PricewaterhouseCoopers
Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock, Series A,PricewaterhouseCoopers
AGM Group Holdings Inc. - Class A Ordinary Shares,OpportunitySpace,
Allergan plc Ordinary Shares,PlanetEcosystems
AGNC Investment Corp. - Common Stock,Investormill
AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,PricewaterhouseCoopers
AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,PricewaterhouseCoopers
AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,PricewaterhouseCoopers
