name,industry,type,founded,num_employees,revenue,stock price,student_careers_url
"Anaplan, Inc.","Enterprise Performance Management,Software Company",Public,-1,1601,-1,61.5099983215332,https://www.anaplan.com/university-connect/
Ancestry.com LLC,"Genealogy,Genetic genealogy,Online publishing,Software publishing",Private,-1,-1,683100000,-1.0,https://careers.ancestry.com/us/en
Andrew Corporation,Telecommunications,Communications Hardware Supplier,-1,-1,-1,-1.0,https://www.indeed.com/cmp/Andrew-Corporation
Animoto,Photo Slideshow Software,Private,-1,100,-1,-1.0,https://animoto.com/careers
Animusic,,Private,-1,-1,-1,-1.0,https://joinhandshake.com/
Answer Underground,"Mobile computing,Mobile,Social networking,Social,online tutoring",Private,-1,-1,-1,-1.0,https://www.flexjobs.com/jobs/telecommuting-jobs-at-answer_underground
"Ansys, Inc.",Computer software,Public,-1,4100,1516000000,328.3500061035156,https://www.ansys.com/about-ansys/careers
Antenna Software,Software Development,,1998,-1,-1,-1.0,"https://www.glassdoor.com/Job/intern-antenna-engineering-jobs-SRCH_KO0,26.htm"
AnyDoc Software,Software Technology,,1989,-1,-1,-1.0,https://www.hyland.com/en/careers
Anystream,Software,Private,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Apex Learning,Educational Software,Private,-1,-1,-1,-1.0,http://www.apexlearning.com/about-us
"AppDynamics, Inc.",Application performance management,Private company,-1,-1,143800000,-1.0,https://www.appdynamics.com/company/careers
"AppExtremes, Inc. dba Conga",Software,Private,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"AppFolio, Inc.",Software,Public,-1,1100,143900000,110.33999633789062,https://www.appfolioinc.com/careers
AppNeta,Cloud Based Network Performance Management and Web Application Performance Service,Private,-1,-1,-1,-1.0,https://www.appneta.com/about/careers/
AppSense,,,1999,-1,-1,-1.0,https://www.ivanti.com/company/careers
AppSheet,"Platform as a service,Digital transformation,Enterprise Software",Subsidiary,2014,35,-1,-1.0,https://solutions.appsheet.com/careers
Titanium SDK,,,-1,-1,-1,-1.0,https://www.appcelerator.com/company/jobs/
"Apperian, Inc.",Mobile application management,Private,-1,50,-1,-1.0,https://careers.northeastern.edu/article/computer-information-science/
"Applause, Inc.","Software testing,Software Testing,Crowdsourcing,Software Quality Assurance",Private,-1,301,-1,-1.0,https://www.applause.com/jobs
Apple Inc.,"Computer hardware,Computer software,Consumer electronics,Cloud computing,Digital distribution,Fabless manufacturing,Fabless silicon design,Semiconductors,Electronic media,Media,Financial technology,Artificial intelligence",Public,1976,137000,274515000000,119.02999877929688,https://www.apple.com/jobs/us/students.html
Application Networks,Software Development,,-1,-1,-1,-1.0,https://www.collegecentral.com/
Applico,Management Consulting,Privately Owned,2009,75,-1,-1.0,https://angel.co/company/applico-1/jobs/967150-digital-content-marketer
"Applied Minds, LLC","Electronics,Software,Consultant,Consulting,Biotechnology,Architectural Design",Private,-1,-1,-1,-1.0,https://appliedminds.com/
Applied Predictive Technologies,Software as a service,,-1,600,-1,-1.0,https://www.indeed.com/cmp/Applied-Predictive-Technologies
"Applied Science International, LLC.",Computer software,Private,-1,100,-1,-1.0,https://www.internationalstudent.com/study-applied-sciences/
"Apptio, Inc.","Software,Computer software,IT service management,IT services",Private,-1,800,160000000,-1.0,https://www.apptio.com/company/careers/
Aptean Corporation,Computer software,Private,-1,-1,-1,-1.0,https://www.aptean.com/our-company/careers/
Apteligent,Mobile application development,Technology,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Apttus,Enterprise software,Privately held company,2006,-1,-1,-1.0,https://apttus.com/company/careers/
"Aquaveo, LLC","Hydrogeology,software",Private,-1,-1,-1,-1.0,https://www.aquaveo.com/careers
Aras Corporation,Enterprise software,Private,-1,550,-1,-1.0,https://www.aras.com/en/company/careers
Arc Technology Group,"Web content management system,Content Management,IT service management,IT services,Information technology consulting,IT consulting",Private,-1,5,1600000,-1.0,https://arc.losrios.edu/cte
Micro Focus ArcSight,"Computer software,Enterprise software",,2000,-1,-1,-1.0,https://jobs.microfocus.com/global/en
ArcSoft,Multimedia Software,Private,-1,800,-1,-1.0,http://www.arcsoft.com/corporate/career.html
Archer-Daniels-Midland Company,"Food processing,Commodities",Public,-1,38100,64656000000,47.90999984741211,https://www.archcareerpartners.com/
"Archipelago Learning, Inc.",Educational software,Public,-1,-1,-1,57.34000015258789,https://en.wikipedia.org/wiki/Archipelago_Learning
Architel Holdings LLC,professional services,,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Ardence, a Citrix Company",Computer software,Private,-1,104,-1,-1.0,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/
Aricent/Altran Americas,"Research and Development,R&D Services",Defunct Company (acquired by Altran),-1,10000,-1,-1.0,https://northamerica.altran.com/careers/overview
Arkeia Software,Computer software,Private,-1,50,-1,-1.0,https://www.linkedin.com/company/arkeia-software
ArrayFire,High Performance Computing,Private,-1,-1,-1,-1.0,http://arrayfire.applytojob.com/
"Arrayent, Inc. (now Prodea)",Computer networking,Privately Held,2005,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Art Technology Group, Inc.",,Subsidiary,-1,442,-1,-1.0,https://www.indeed.com/cmp/Art-Technology-Group
"Asana, Inc.","Project management,task management,productivity software,Collaborative software,team collaboration",Public,-1,900,-1,110.33999633789062,https://asana.com/jobs/university-recruiting
"Ascent Solar Technologies,","Photovoltaics,Solar energy",Public,2005,150,7000000,4.150000095367432,https://www.ascentsolar.com/careers.html
Aspect Inc.,"Call center,technology,Customer experience",Private,1973,2088,443000000,-1.0,https://www.aspect.com/company/careers
"Aspen Technology, Inc.","Software,Process Manufacturing",Public,-1,-1,-1,120.8499984741211,https://www.aspentech.com/en/careers
Astrotech Corporation,"Science,Technology",,-1,71,-1,-1.0,https://www.astrotech.com/careers
Asure Software,Software as a service,Public,-1,420,-1,7.03000020980835,https://jobs.jobvite.com/asuresoftware
"SumTotal Systems, Inc.",Software,Public,-1,-1,-1,57.34000015258789,https://www.mckinsey.com/careers/students
Atavist,,,-1,-1,-1,-1.0,https://atavist.com/page/careers
Atego,,,1996,-1,-1,-1.0,https://www.mercedes-benz-trucks.com/en_GB/brand/careers.html
Aternity Inc,Computer software,,2004,-1,-1,-1.0,https://www.aternity.com/
"athenahealth, Inc.",Healthcare Technology,Private,-1,6000,5700000000,-1.0,https://www.athenahealth.com/careers/students
Atos Syntel,"IT service management,IT services,Information technology consulting,IT consulting",,-1,-1,-1,-1.0,https://www.atos-syntel.net/careers
Attachmate,"Computer software,Technology services",Private,-1,-1,400000000,-1.0,https://jobs.microfocus.com/global/en
Attensity,Software,Private,-1,-1,-1,-1.0,https://www.att.jobs/students
Atypon,Software,Subsidiary,-1,-1,-1,-1.0,https://www.atypon.com/careers/
Augury,Technology,,-1,-1,-1,-1.0,https://www.augury.com/careers/
Auriga Inc.,"Software development,Information technology consulting,IT Service Management,IT Services",Private C-corp,-1,450,-1,-1.0,https://auriga.com/company/join-us/
Aurigo Software,Computer software,Private,-1,-1,-1,-1.0,https://www.aurigo.com/company/careers/
AutoMotion,,,-1,-1,-1,-1.0,https://www.rockwellautomation.com/en-us/company/careers.html
"Autodesk, Inc.",Software,Public,-1,10300,3270000000,255.9199981689453,https://www.autodesk.com/careers
Autodesk Media and Entertainment,Computer software,Subsidiary,-1,-1,-1,-1.0,https://www.autodesk.com/careers
Automated Insights,"Technology,Software",Private,-1,-1,-1,-1.0,https://automatedinsights.com/careers/
AutomatedQA Corp.,Computer software,Private,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Automatic Duck,"Software industry,Software",Private,-1,4,-1,-1.0,https://duckduckgo.com/hiring
Automation Anywhere,"Software industry,Computer software,cloud computing,robotic process automation,artificial intelligence",Private company,2003,2400,-1,-1.0,https://www.automationanywhere.com/company/careers
Automattic Inc.,Internet,Private,-1,1273,-1,-1.0,https://automattic.com/work-with-us/
"Autonomous Solutions, Inc.","Vehicle Automation,mining,farming,automotive,agricultural,military,facilities robotics,security",Private,-1,-1,-1,-1.0,https://asirobots.com/jobs/
Avanade,"Professional services,Technology services",Subsidiary,-1,39000,2000000000,-1.0,https://www.avanade.com/en-us/careers/your-career/graduates
Avaya Inc.,Technology,Public,-1,7900,2890000000,110.33999633789062,https://careers.avaya.com/
AvePoint,Computer software,Privately held company,-1,1400,-1,-1.0,https://www.avepoint.com/about/careers
"Aventri, Inc.",Cloud-software Event management,Private,1998,-1,-1,-1.0,https://www.aventri.com/careers
"Avere Systems, Inc",,Private,-1,-1,-1,-1.0,https://www.microsoft.com/en-us/avere/contact-us
"Avid Technology, Inc.","Computer software,Technology,Multimedia",Public,-1,1446,413280000,9.859999656677246,https://www.avid.com/careers
"Aware, Inc.","Biometrics,software",Public,-1,-1,-1,2.6600000858306885,https://www.aware-inc.org/
"Awareness Technologies, Inc.",Software,Private Company,-1,32,-1,-1.0,https://jobs.mayoclinic.org/career-awareness/
Axceler,Computer software,Privately held,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Axwave, Inc.",Information Technology and Services,Private,-1,20,-1,-1.0,https://www.mckinsey.com/careers/students
Axway Software,Information Technology,''Société Anonyme'',2000,1930,301100000,-1.0,https://www.axway.com/en/company/careers
"B-Scada, Inc.",Software,Public,-1,-1,-1,110.33999633789062,http://relaxcolchoneria.store/2015-mitsubishi/online-plc-scada-jobs.html
B2W Software,Enterprise-class construction software,Private,-1,-1,-1,-1.0,https://www.b2wsoftware.com/company/b2w-careers/
"BEA Systems, Inc.",Software Company,Corporation,-1,-1,1535000000,-1.0,https://jobs.baesystems.com/global/en
BIOVIA,"Life sciences,materials science,Consumer packaged goods,automotive,aerospace,energy,academic,manufacturing,technology",Subsidiary,-1,700,155000000,-1.0,https://careers.3ds.com/
"BMC Software, Inc.",Computer software,Private,1980,6000,2000000000,-1.0,https://www.bmc.com/careers/careers.html
Badgeville,Software as a service,Private Company,-1,70,-1,-1.0,https://www.mckinsey.com/careers/students
Balsamiq Wireframes,,,-1,-1,-1,-1.0,https://balsamiq.com/company/jobs/
Bamboo HR LLC,technology company,,2008,470,-1,-1.0,https://www.bamboohr.com/careers/
Bandwidth Inc.,,Public,-1,700,-1,165.6300048828125,https://www.bandwidth.com/careers/
Bare Bones Software,Software industry,corporation,-1,-1,-1,-1.0,https://www.barebones.com/
Base CRM,Enterprise software,Private,-1,150,-1,-1.0,https://www.salesforce.com/company/careers/
Base One International Corporation,Computer software,Private,1993,-1,-1,-1.0,https://career.berkeley.edu/IntnlStudents/IS-strategies
"Basho Technologies, Inc.","Distributed Systems,NoSQL,Cloud storage,software",Private company,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Basis Technology Corp.,"Information technology,Information access,Digital forensics,Transliteration",Private,-1,-1,-1,-1.0,https://www.basistech.com/about/careers/
BatchMaster Software,"Enterprise resource planning,Enterprise Resource Planning",Software Company,-1,300,-1,-1.0,https://www.batchmaster.com/careers/
Baynote,Software,Private,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Beeline,Workforce management,Private,1999,450,-1,-1.0,https://www.beeline.com/careers/
BenchPrep,Education,,-1,-1,-1,-1.0,https://benchprep.com/
"Bentley Systems, Inc.",Computer Software,Public,-1,3800,700000000,57.34000015258789,https://www.bentley.com/en/about-us/careers
"Best Way Technologies, Inc.",Software,Private,-1,-1,-1,-1.0,https://www.it-ology.org/it-resources/how-to-start-an-it-career/
BetterCloud,Internet Technology,Private,-1,-1,-1,-1.0,https://www.bettercloud.com/careers/
BettrLife Corporation,"Health Care,Wellness,Wellness",Private,-1,-1,-1,-1.0,https://www.bettrlife.com/
Big Tech,Information technology,,-1,-1,-1,-1.0,https://learn.joinhandshake.com/students/tech-companies-hiring-students-now/
