Company Name, Number of H1B in 2020, Median Salary Overall, Post, Median salary for post, Number of h1bs filed for that post  
Oracle, 109 Records from 2020, Median Salary $122824, SOFTWARE DEVELOPR, $71,820, 1
Caterpillar, 5 Records from 2020, Median Salary $98000, SOFTWARE ENGINEER II, $104,000, 2
Caterpillar, 5 Records from 2020, Median Salary $98000, SOFTWARE ENGINEER I, $108,000, 2
Caterpillar, 5 Records from 2020, Median Salary $98000, SOFTWARE ENGINEER, $82,000, 1
MetLife, 2 Records from 2020, Median Salary $85987, SOFTWARE DEVELOPMENT ENGINEER II, $85,987, 1
MetLife, 2 Records from 2020, Median Salary $85987, SOFTWARE DEVELOP ENGINEER II, $85,987, 1
Nike, 6 Records from 2020, Median Salary $129995, SOFTWARE ENGINEER III, $133,799, 2
Nike, 6 Records from 2020, Median Salary $129995, SOFTWARE ENGINEER II, $132,498, 2
Nike, 6 Records from 2020, Median Salary $129995, SOFTWARE ENGINEER II - GLOBAL TECHNOLOGY, $115,532, 1
Nike, 6 Records from 2020, Median Salary $129995, SOFTWARE ENGINEER, $110,000, 1
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE ENGINEER III, $85,563, 10
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE ENGINEER II, $55,952, 10
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE ENGINEER ADVISOR, $89,149, 6
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE QUALITY ENGINEER II, $64,035, 3
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE DEVELOPER II, $69,306, 2
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE DEVELOPER ADVISOR, $127,721, 1
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE DEVELOPER III, $89,149, 1
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE QUALITY ENGINEER ADVISOR, $77,813, 1
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE ENGINEER, $68,680, 1
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE QUALITY ENGINEER III, $61,672, 1
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE DEVELOPER II JAVA, $55,952, 1
FedEx, 38 Records from 2020, Median Salary $76045, SOFTWARE ENGINEER I, $55,952, 1
Schlumberger, 11 Records from 2020, Median Salary $98020, SOFTWARE ENGINEER, $94,510, 8
Schlumberger, 11 Records from 2020, Median Salary $98020, SOFTWARE ARCHITECT, $145,340, 1
Schlumberger, 11 Records from 2020, Median Salary $98020, SOFTWARE GEOPHYSICIST â FWI CODE, $120,349, 1
Schlumberger, 11 Records from 2020, Median Salary $98020, SOFTWARE GEOPHYSICIST, $115,024, 1
Marathon Petroleum, 2 Records from 2020, Median Salary $79250, SOFTWARE DEVELOPER, $79,250, 2
Humana, 7 Records from 2020, Median Salary $105109.2, SOFTWARE ENGINEER 1, $105,109, 3
